communication management	social obligations management	task	feedback-value	feedback	sentiment	sentiment-value	opinion	opinion-value	emotion	emotion-value	knowledge	discourse structure management	partiality	conditionality	certainty	irony	date	time	participant	segment	raw
		inform															sam. nov. 01 2014	14:36	lyntoo	j'ai quand meme connu le disque souple...soit disant floppy disk	j'ai quand meme connu le disque souple...soit disant floppy disk
		inform	execution	answerPositively													sam. nov. 01 2014	14:37	vero	eh bien oui il a aussi un lecteur de disquettes	eh bien oui il a aussi un lecteur de disquettes
		requestForInformation															sam. nov. 01 2014	14:37	vero	comment rendre la cle bootable ?	comment rendre la cle bootable ?
		inform					inform	depreciate									sam. nov. 01 2014	14:38	vero	eh oui , je suis une boulette	eh oui, je suis une boulette
		answer															sam. nov. 01 2014	14:39	lyntoo	ya des programmes qui la format et la rende bootable	ya des programmes qui la format et la rende bootable
		requestForInformation															sam. nov. 01 2014	14:39	davlefou	xp ?	xp?
		commit			inform	satisfied											sam. nov. 01 2014	14:39	vero	c'est bon , j'ai demandé à google , je vais me débrouiller sur ce coup là	c'est bon, j'ai demandé à google, je vais me débrouiller sur ce coup là
		requestForInformation										introduceTopic					sam. nov. 01 2014	14:40	mezen	pourquoi tu passes ton temps à tout réinstaller ?	pourquoi tu passes ton temps à tout réinstaller?
							inform	promote									sam. nov. 01 2014	14:40	lyntoo	bonne initiative , te vla sur le bon pas	bonne initiative, te vla sur le bon pas avec linux tu risque de googler quelques fois mais tout y es...suffit d'avoir un brin de patience
		answer					inform	promote						conditional					\	avec linux tu risque de googler quelques fois mais tout y es...suffit d'avoir un brin de patience	
		correct															sam. nov. 01 2014	14:40	vero	mais non , mais non , ça fait une semaine que je m'obstine à installer linux ,	mais non, mais non, ça fait une semaine que je m'obstine à installer linux, je vais aps abandonner
		commit																	\	je vais aps abandonner	
																	sam. nov. 01 2014	14:40	mezen	il faut juste installer le meta paquet lubuntu-desktop	il faut juste installer le meta paquet lubuntu-desktop
																	sam. nov. 01 2014	14:40	vero	oh ça j'ai googolé et regoogolé	oh ça j'ai googolé et regoogolé
		requestForInformation							inform	positiveSurprise							sam. nov. 01 2014	14:41	vero	ah je ne suis pas obligée de tout réinstaller ?	ah je ne suis pas obligée de tout réinstaller ? Ca m'interesse
									inform	happy									\	Ca m'interesse	
																	sam. nov. 01 2014	14:42	davlefou	non , tu peux changer à chaud ,	non, tu peux changer à chaud,
																	sam. nov. 01 2014	14:42	lyntoo	apres coup , tu voudras plus rien savoir de windows , linux es très fiable et pas de crash une fois le setup complété	apres coup, tu voudras plus rien savoir de windows, linux es très fiable et pas de crash une fois le setup complété
																	sam. nov. 01 2014	14:43	davlefou	tu peux virer le bureau et installe celui de lubuntu si tu te sens	tu peux virer le bureau et installe celui de lubuntu si tu te sens
																	sam. nov. 01 2014	14:43	mezen	https://doc.ubuntu-fr.org/lubuntu#par_paquet	https://doc.ubuntu-fr.org/lubuntu#par_paquet
																	sam. nov. 01 2014	14:43	davlefou	http://doc.ubuntu-fr.org/migration_vers_xubuntu	http://doc.ubuntu-fr.org/migration_vers_xubuntu
			execution	answerPositively													sam. nov. 01 2014	14:44	vero	ok	ok merci
																			\	merci	
		answerByRequestForAction					inform	promote						conditional			sam. nov. 01 2014	14:45	davlefou	si tu es néophyte , je te conseil une installe , c'est a mon avis plus simple .	si tu es néophyte, je te conseil une installe, c'est a mon avis plus simple.
																	sam. nov. 01 2014	14:46	mezen	autant l'essayer d'abord	autant l'essayer d'abord
																	sam. nov. 01 2014	14:46	mezen	en installant le paquet , elle peut l'essayer et voir si ça saccade ou pas	en installant le paquet, elle peut l'essayer et voir si ça saccade ou pas
																	sam. nov. 01 2014	14:46	mezen	et puis , elle peut aussi essayer le pilote proprio	et puis, elle peut aussi essayer le pilote proprio
																	sam. nov. 01 2014	14:47	mezen	ensuite c'est une histoire de gout , si elle l'aime pas, qu'est ce qu'on fait ? 14:47 (mezen)>+ :)	ensuite c'est une histoire de gout, si elle l'aime pas, qu'est ce qu'on fait ? :)
									inform	love				conditional			sam. nov. 01 2014	14:50	vero	si je n'ai plus de problème d'affichage , je vais l'aimer	si je n'ai plus de problème d'affichage, je vais l'aimer
																	sam. nov. 01 2014	14:56	vero	le pilote proprio justement je ne suis pas arrivée à l'installer	le pilote proprio justement je ne suis pas arrivée à l'installer
		inform											pause				sam. nov. 01 2014	14:56	vero	l'installation lubuntu-desktop est en train de se faire via ubuntu	l'installation lubuntu-desktop est en train de se faire via ubuntu
																	sam. nov. 01 2014	15:12	blacksatin	hihihi ,	hihihi, y'a plus personne ici
																			\	y'a plus personne ici	
					inform	satisfied											sam. nov. 01 2014	15:19	vero	voilà , le pc est redémarré avec lubuntu , l'affichage est fluide , il y a du son	voilà, le pc est redémarré avec lubuntu, l'affichage est fluide, il y a du son
					inform	satisfied							complete				sam. nov. 01 2014	15:19	vero	tout parfait quoi	tout parfait quoi
			execution	answerPositively	inform	satisfied											sam. nov. 01 2014	15:20	lyntoo	ah super ,	ah super, en espérant que tu sache apprécié et en tombe follement amoureuse ahah
	wish								inform	happy									\	en espérant que tu sache apprécié et en tombe follement amoureuse ahah	
	greetings																sam. nov. 01 2014	15:21	vero	merci davleloup , lyntoo , mezen ... 15:21 (vero)>+ pour votre aide et votre patience	merci davleloup, lyntoo, mezen... pour votre aide et votre patience
																	sam. nov. 01 2014	15:21	vero	bon week-end à tous	bon week-end à tous
																	sam. nov. 01 2014	15:22	lyntoo	bye bye a une prochaine alors	bye bye a une prochaine alors
																	sam. nov. 01 2014	15:22	vero	bye	bye
			execution	answerPositively					inform	happy							sam. nov. 01 2014	15:34	mezen	daveleloup , lol	daveleloup, lol
																	sam. nov. 01 2014	15:48	mezen	lol	lol
																	sam. nov. 01 2014	15:52	lyntoo	les pingouins sont silencieux	les pingouins sont silencieux
																	sam. nov. 01 2014	16:04	noobuntu	bonjour tout le monde	bonjour tout le monde
		requestForInformation										introduceTopic					sam. nov. 01 2014	16:05	noobuntu	@wl_dev_intvar_get : 16:05 (noobuntu)>+ error (-1 ) ca vous parle ????	@wl_dev_intvar_get : error (-1) ca vous parle ????
																	sam. nov. 01 2014	16:05	noobuntu	mon tty dit ca en boucle	mon tty dit ca en boucle
		answer													uncertain		sam. nov. 01 2014	16:09	lyntoo	ca ressemble a un erreur de carte reseau sans fil	ca ressemble a un erreur de  carte reseau sans fil
		answer													uncertain		sam. nov. 01 2014	16:09	lyntoo	apparament la broadcom	apparament la broadcom
																	sam. nov. 01 2014	16:09	noobuntu	une erreur !	une erreur ! pourtant mon wifi fonctionne  enfin je crois ^^
																			\	pourtant mon wifi fonctionne enfin je crois ^^	
																	sam. nov. 01 2014	16:10	noobuntu	comment faire pour faire disparaitre cette erreur	comment faire pour faire disparaitre cette erreur
																	sam. nov. 01 2014	16:12	lyntoo	j'ai lu sur un forum qu'on suggère d'elenever le package dkms-broadcom-wl-6 et réinstaller le dkms-broadcom-wl-legacy-5 , et apparament lusager n'a plus cette erreur ,	j'ai lu sur un forum qu'on suggère d'elenever le package dkms-broadcom-wl-6  et réinstaller le dkms-broadcom-wl-legacy-5,   et apparament lusager n'a plus cette erreur, mais ce n'est qu'un diagnostique de surface, si tu le fais, fait le en bonne conscience et assume ce qui se passe ;)
																			\	mais ce n'est qu'un diagnostique de surface ,	
																			\	si tu le fais , fait le en bonne conscience et assume ce qui se passe ;)	
																	sam. nov. 01 2014	16:13	noobuntu	oui en effet	oui en effet au dela de 5 metre le wifi saute mais de pres ca fonctionne
					inform	unsatisfied													\	au dela de 5 metre le wifi saute mais de pres ca fonctionne	
																	sam. nov. 01 2014	16:13	noobuntu	quel sont les riques ?	quel sont les riques ?
																	sam. nov. 01 2014	16:14	noobuntu	risques ?	risques?
					inform	unsatisfied								conditional			sam. nov. 01 2014	16:14	lyntoo	que tu perde le wifi temporairement si jamais ca fonctionne pas	que tu perde le wifi temporairement si jamais ca fonctionne pas
																	sam. nov. 01 2014	16:14	alcidi	bonjoura tousse	bonjoura tousse
																	sam. nov. 01 2014	16:14	noobuntu	salut	salut
		requestForHelp															sam. nov. 01 2014	16:14	noobuntu	de l'aide via team viver ?	de l'aide via team viver ?
																	sam. nov. 01 2014	16:14	noobuntu	en fillaire	en fillaire
		requestForInformation										introduceTopic					sam. nov. 01 2014	16:14	alcidi	je voulais savoir comment lire les fichiers wav avec totem ,	je voulais savoir comment lire les fichiers wav avec totem, le mien ne les lit pas , contrairement à smplayer
		inform			inform	unsatisfied													\	le mien ne les lit pas , contrairement à smplayer	
																	sam. nov. 01 2014	16:15	alcidi	surement un codec de plus à installer , mais lequel ?	surement un codec de plus à installer , mais lequel ?
																	sam. nov. 01 2014	16:16	lyntoo	wavpack	wavpack
			execution	answerPositively													sam. nov. 01 2014	16:16	alcidi	oki docki ,	oki docki , je regarde dans le synaptic
		commit																	\	je regarde dans le synaptic	
		inform							inform	negativeSurprise							sam. nov. 01 2014	16:17	alcidi	bizarre que ce soit pas lu par défaut , du fait que j'ai déjà libwavpack1 d'installé	bizarre que ce soit pas lu par défaut , du fait que j'ai déjà libwavpack1 d'installé
		requestForHelp															sam. nov. 01 2014	16:17	noobuntu	tu veut bienn m'aider par teamviver stp	tu veut bienn m'aider par teamviver stp
																	sam. nov. 01 2014	16:17	alcidi	je ne connais pas ce logiciel	 je ne connais pas ce logiciel
									inform	negativeSurprise							sam. nov. 01 2014	16:18	lyntoo	ouais étrange ,	ouais étrange, je suis pas trop bidouilleur des .wav mais je sais que vlc lit pas mal tout ce qui se fait
							inform	promote							certain				\	je suis pas trop bidouilleur des . wav mais je sais que vlc lit pas mal tout ce qui se fait	
												shiftTopic					sam. nov. 01 2014	16:18	alcidi	deuxième question , parfois j'ai des cadenas sur certains fichiers que je peux pourtant lire sans probleme , type des mp3 ,	deuxième question, parfois j'ai des cadenas sur certains fichiers que je peux pourtant lire sans probleme, type des mp3, pourquoi ces cadenas et qu'impiquent-ils ?
																			\	pourquoi ces cadenas et qu'impiquent-ils ?	
															uncertain		sam. nov. 01 2014	16:19	lyntoo	surment que le fichier es protéger en écriture mais pas en lecture	surment que le fichier es protéger en écriture mais pas en lecture
																	sam. nov. 01 2014	16:19	alcidi	je vais plutôt tenter l'installe de totem-plugins-extra	 je vais plutôt tenter l'installe de totem-plugins-extra
		inform							inform	negativeSurprise							sam. nov. 01 2014	16:20	alcidi	bizarre de protéger un fichier mp3 en écriture sachant qu'en général on écrit pas sur son tube préféré du moment	 bizarre de protéger un fichier mp3 en écriture sachant qu'en général on écrit pas sur son tube préféré du moment
			execution	answerPositively													sam. nov. 01 2014	16:20	lyntoo	bien ,	bien, fais moi savoir si ca fonctionne j'suis quand meme curieux
					requestForInformation	satisfied													\	fais moi savoir si ca fonctionne	
									inform	positiveSurprise									\	j'suis quand meme curieux	
		inform							inform	positiveSurprise							sam. nov. 01 2014	16:20	alcidi	la curiosité est un vilain défaut , mais j'ai le même ,	la curiosité est un vilain défaut , mais j'ai le même , je tente et je te dis
		commit																	\	je tente et je te dis	
			execution	answerPositively													sam. nov. 01 2014	16:20	lyntoo	bien	bien tu peux modifier la database du mp3, le genre l'artiste etc
		answerByRequestForAction																	\	tu peux modifier la database du mp3 , le genre l'artiste etc	
	thanking				inform	unsatisfied											sam. nov. 01 2014	16:21	noobuntu	bon merci quand meme !	bon merci quand meme ! je reviendrais ! bonne soirée bon courage est encore merci !
												preclosing							\	je reviendrais !	
																			\	bonne soirée bon courage	
																			\	est encore merci !	
			execution	answerPositively													sam. nov. 01 2014	16:21	alcidi	ah oui lyntoo	ah oui lyntoo j'avais pas pensé à ça, dans le sens ou je ne fais jamais ce genre de choses
																			\	j'avais pas pensé à ça , dans le sens ou je ne fais jamais ce genre de choses	
		inform			inform	unsatisfied											sam. nov. 01 2014	16:24	alcidi	marche po	marche po
																	sam. nov. 01 2014	16:25	alcidi	mais en fait j'ai un message surprenant de totem : 16:25 (alcidi)>+ fichier spécifié non trouvé	mais en fait j'ai un message surprenant de totem : fichier spécifié non trouvé
																	sam. nov. 01 2014	16:25	alcidi	plus spécialement le film spécifié n'a pu être trouvé , quand je tente un wav	plus spécialement le film spécifié n'a pu être trouvé , quand je tente un wav
																	sam. nov. 01 2014	16:25	alcidi	un wav depuis un cd	un wav depuis un cd
																	sam. nov. 01 2014	16:25	lyntoo	ah c'est déja un indice	ah c'est déja un indice
																	sam. nov. 01 2014	16:26	lyntoo	essaye de copier le fichier sur ton disque dure et de le lire a partir de	essaye de copier le fichier sur ton disque dure et de le lire a partir de
					inform	satisfied											sam. nov. 01 2014	16:27	alcidi	oui ça marche dans ce cas	oui ça marche dans ce cas
							inform	depreciate							uncertain		sam. nov. 01 2014	16:27	alcidi	la gestion des cd est pas au point on dirait	la gestion des cd est pas au point on dirait
									inform	negativeSurprise					uncertain		sam. nov. 01 2014	16:27	lyntoo	pourtant les . wav c'est tres basique , ca devrais etre lu par défaut	pourtant les .wav c'est tres basique, ca devrais etre lu par défaut
					inform	satisfied						closeTopic					sam. nov. 01 2014	16:27	alcidi	problème résolu puisque ce sont des fichiers que je devais les copier sur mon DD	problème résolu puisque ce sont des fichiers que je devais les copier sur mon DD
												announceTopicShift					sam. nov. 01 2014	16:28	alcidi	un autre truc tant que j'y pense ,	un autre truc tant que j'y pense, qui utilise mtink ? moi depuis la 14.04 ça ne reconnait pas mon imprimante alors que ça fonctionnait depuis des années sur les précédentes versions d'ubuntu depuis la 06.06
		requestForInformation										introduceTopic							\	qui utilise mtink ?	
					inform	unsatisfied													\	moi depuis la 14.04 ça ne reconnait pas mon imprimante alors que ça fonctionnait depuis des années sur les précédentes versions d'ubuntu depuis la 06.06	
																	sam. nov. 01 2014	16:28	lyntoo	connais pas mtink ,	connais pas mtink, c'est un gestionnaire d'imprimante?
																			\	c'est un gestionnaire d'imprimante ?	
																	sam. nov. 01 2014	16:29	alcidi	oui ,	oui, c'est très chiant parce que pour nettoyer les têtes de lecture sans le logiciel c'est difficile et escputil ne semble pas savoir le faire donc il ne me reste plus que mtink
					inform	unsatisfied													\	c'est très chiant parce que pour nettoyer les têtes de lecture sans le logiciel c'est difficile et escputil ne semble pas savoir le faire donc il ne me reste plus que mtink	
																	sam. nov. 01 2014	16:30	lyntoo	surment que ca te prends le driver pour ton imprimante alors quelque chose du genre	surment que ca te prends le driver pour ton imprimante alors quelque chose du genre
					inform	unsatisfied											sam. nov. 01 2014	16:30	alcidi	en ligne de commande j'ai accès aux niveau d'encre depuis escputil mais pas au nettoyage des têtes , j'ai le message comme quoi il nettoie mais ça ne fait rien du tout	en ligne de commande j'ai accès aux niveau d'encre depuis escputil mais pas au nettoyage des têtes  , j'ai le message comme quoi il nettoie mais ça ne fait rien du tout
																	sam. nov. 01 2014	16:31	alcidi	logiquement le driver est installé puisque l'imprimante est reconnue par le systeme , et de plus il s'est toujours installé par défaut sans que je ne fasse rien de spécial à l'installe d'ubuntu	logiquement le driver est installé puisque l'imprimante est reconnue par le systeme, et de plus il s'est toujours installé par défaut sans que je ne fasse rien de spécial à l'installe d'ubuntu
									requestForAction	fear					uncertain		sam. nov. 01 2014	16:31	lyntoo	méfie toi , cest peut-etre un driver générique qui prends pas en considération les options spécialisé	méfie toi, cest peut-etre un driver générique qui prends pas en considération les options spécialisé
																	sam. nov. 01 2014	16:33	alcidi	avant mtink faisait l'essentiel , niveau d'encre , nettoyage des têtes et impression page de test , moi je n'en demande pas plus	avant mtink faisait l'essentiel , niveau d'encre, nettoyage des têtes et impression page de test , moi je n'en demande pas plus
					inform	unsatisfied											sam. nov. 01 2014	16:35	alcidi	c'est quand même très génant quand on utilise bcp le traitement de texte et qu'on a souvent des choses à imprimer , comme c'est mon cas , c'est une vraie galère à chaque fois que j'ai une cartouche encrassée ou à changer	c'est quand même très génant quand on utilise bcp le traitement de texte et qu'on a souvent des choses à imprimer, comme c'est mon cas, c'est une vraie galère à chaque fois que j'ai une cartouche encrassée ou à changer
																	sam. nov. 01 2014	16:36	lyntoo	j'ai vu que le cups driver n'utilise plus le module usbpl maintenant ca peut etre relié	j'ai vu que le cups driver n'utilise plus le module usbpl maintenant ca peut etre relié
		answerPositively													uncertain		sam. nov. 01 2014	16:36	alcidi	oui ça se peut en effet ,	oui ça se peut en effet , parce qu'avant ubuntu 14.04; j'avais aucun probleme
					inform	satisfied													\	parce qu'avant ubuntu 14.04 ; j'avais aucun probleme	
																	sam. nov. 01 2014	16:36	lyntoo	sudo modprobe usbpl	sudo modprobe usbpl
																	sam. nov. 01 2014	16:37	lyntoo	mtink et ensuite sudo modprobe - r usbpl	mtink et ensuite sudo modprobe -r usbpl
																	sam. nov. 01 2014	16:37	alcidi	pour faire quoi ?	 pour faire quoi ? je ne suis pas un pro de la ligne de commande
																			\	je ne suis pas un pro de la ligne de commande	
																	sam. nov. 01 2014	16:39	Alonzo	Bonjour ,	Bonjour, tout nouveau sur ubuntu je viens soliciter votre aide pour un petit problème
																			\	tout nouveau sur ubuntu	
		requestForHelp										open					sam. nov. 01 2014	16:39	Alonzo	je viens soliciter votre aide pour un petit problème	
					inform	unsatisfied						introduceTopic					sam. nov. 01 2014	16:46	Alonzo	Ma logitèque ubuntu ne marche plus , et j'ai un panneau sens interdit dans mon tableau de bord	Ma logitèque ubuntu ne marche plus, et j'ai un panneau sens interdit dans mon tableau de bord
									inform	love							sam. nov. 01 2014	16:46	Alonzo	J'ai voulu mettre à jour les paquets	J'ai voulu mettre à jour les paquets voilà le message d'erreur
																	sam. nov. 01 2014	16:47	Alonzo	voilà le message d'erreur	
																	sam. nov. 01 2014	16:55	alcidi	Lecture des listes de paquets ... 16:46 (Alonzo)>+ Erreur ! 16:46 (Alonzo)>+ E : 16:46 (Alonzo)>+ Encountered a section with no Package : 16:46 (Alonzo)>+ header E : 16:46 (Alonzo)>+ Problem with MergeList / var/lib/apt/lists/fr.archive.ubuntu.com_ubuntu_dists_precise_universe_i18n_Translation-en E : 16:46 (Alonzo)>+ Les listes de paquets ou le fichier « status » ne peuvent être analysés ou lus	Lecture des listes de paquets... Erreur ! E: Encountered a section with no Package: header E: Problem with MergeList /var/lib/apt/lists/fr.archive.ubuntu.com_ubuntu_dists_precise_universe_i18n_Translation-en E: Les listes de paquets ou le fichier « status » ne peuvent être analysés ou lus.
		requestForHelp															sam. nov. 01 2014	16:55	alcidi	Quelqu'un a une idée svp ?	Quelqu'un a une idée svp ?
																	sam. nov. 01 2014	17:00	samp	Alonzo : 16:55 (alcidi)>+ tu as bidouillé	Alonzo:  tu as bidouillé
																			\	oupas pas eu le temps de répondre	oupas pas eu le temps de répondre
																			\	Salut ,	Salut, quelqu'un serait dispo pour me filer un coup de main a config mon serveur apache2 svp ?
		requestForHelp										introduceTopic							\	quelqu'un serait dispo pour me filer un coup de main a config mon serveur apache2 svp ?	
																	sam. nov. 01 2014	17:07	Asharas	hellow !	hellow!
																	sam. nov. 01 2014	17:12	samp	salut	salut
		requestForHelp							inform	love		introduceTopic					sam. nov. 01 2014	17:13	samp	j'aurai besoin d'un petit coup de pied pour config mon serveur apache2 en virtualhost svp	j'aurai besoin d'un petit coup de pied pour config mon serveur apache2 en virtualhost svp
																	sam. nov. 01 2014	17:17	Asharas	dis toujours	dis toujours
		answer							inform	happy							sam. nov. 01 2014	17:18	gniourf	toujours	toujours
																	sam. nov. 01 2014	17:20	samp	http://forum.ubuntu-fr.org/viewtopic.php?pid=18438441#p18438441	http://forum.ubuntu-fr.org/viewtopic.php?pid=18438441#p18438441
							inform	depreciate				inform					sam. nov. 01 2014	17:23	Oleti	y a pas trop de question la ....	y a pas trop de question la ....
		requestForInformation	interpretation	answerNegatively													sam. nov. 01 2014	17:23	samp	hum cad ?	hum cad ?
					inform	unsatisfied											sam. nov. 01 2014	17:23	samp	je ne sais pas quoi toucher pour configurer mon 2nd site	je ne sais pas quoi toucher pour configurer mon 2nd site
									inform	fear							sam. nov. 01 2014	17:24	samp	j'ai bien peur de tout faire planter	j'ai bien peur de tout faire planter
		answerNegatively												conditional			sam. nov. 01 2014	17:24	Oleti	si tu as fait des copies des fchiers , tu ne fais pas tout planter	si tu as fait des copies des fchiers, tu ne fais pas tout planter
			interpretation	requestForInformation													sam. nov. 01 2014	17:24	samp	si j'ai fais un backup ?	si j'ai fais un backup ?
																	sam. nov. 01 2014	17:25	Oleti	les sites doivent etre configurer dans sites-available 17:25 (Oleti)> et activé dans sites-enabled	les sites doivent etre configurer dans sites-available
																	sam. nov. 01 2014	17:25	Oleti		et activé dans sites-enabled
			execution	answerPositively													sam. nov. 01 2014	17:26	samp	pourtant dans ma config si tu regardes le fichier apache2.conf tu vois que mes virtual hosts sont tout en bas	pourtant dans ma config si tu regardes le fichier apache2.conf tu vois que mes virtual hosts sont tout en bas
																	sam. nov. 01 2014	17:27	Oleti	j'ai vu	j'ai vu
correct																	sam. nov. 01 2014	17:27	samp	et j'ai mis a jour le post avec le contenu de mon fichier sites-available/default	et j'ai mis a jour le post avec le contenu de mon fichier sites-available/default
																	sam. nov. 01 2014	17:27	samp	il n'y a rien dedans	il n'y a rien dedans
																	sam. nov. 01 2014	17:28	samp	rien de spécifique à mon premier site	rien de spécifique à mon premier site
																	sam. nov. 01 2014	17:30	samp	alors je commence par activer mon mod userdir ?	alors je commence par activer mon mod userdir ?
																	sam. nov. 01 2014	17:44	samp	oleti tu ferai comment ?	oleti tu ferai comment ?
		requestForHelp							inform	love							sam. nov. 01 2014	17:44	samp	j'aurai besoin d'un petit coup de pied pour config mon serveur apache2 en virtualhost svp	j'aurai besoin d'un petit coup de pied pour config mon serveur apache2 en virtualhost svp
																	sam. nov. 01 2014	18:26	samp	bonsoir ,	bonsoir,
									inform	love		introduceTopic					sam. nov. 01 2014	18:26	samp	je cherche à désinstaller apache2 , j'utilise la commande sudo apt-get purge apache2	je cherche à désinstaller apache2, j'utilise la commande sudo apt-get purge apache2
		inform													uncertain		sam. nov. 01 2014	18:26	davlefou	lyntoo je crois qu'elle n'utilise pas tab !	lyntoo je crois qu'elle n'utilise pas tab!
		requestForInformation	execution	answerNegatively													sam. nov. 01 2014	18:26	davlefou	et donc ?	et donc?
																	sam. nov. 01 2014	18:27	samp	et bien mon serveur web est toujours la	et bien mon serveur web est toujours la
																	sam. nov. 01 2014	18:27	samp	sudo / etc/init.d/apache2 start	sudo /etc/init.d/apache2 start
																	sam. nov. 01 2014	18:27	samp	et mon site fonctionne a nouveau	et mon site fonctionne a nouveau
																	sam. nov. 01 2014	18:27	davlefou	tu l'install et aprés tu veux purger ?	tu l'install et aprés tu veux purger?
									inform	love							sam. nov. 01 2014	18:27	samp	je veux le réinstaller avec la configuration de base	je veux le réinstaller avec la configuration de base
																	sam. nov. 01 2014	18:28	samp	donc je suis parti sur le désinstaller avec sudo apt-get purge apache2	donc je suis parti sur le désinstaller avec sudo apt-get purge apache2
																	sam. nov. 01 2014	18:28	samp	pour le désinsataller mais il est toujours la ...	pour le désinsataller mais il est toujours la ...
																	sam. nov. 01 2014	18:33	Marmotte	il doit y avoir des erreurs affichées lors du purge , non ?	il doit y avoir des erreurs affichées lors du purge, non ?
																	sam. nov. 01 2014	18:33	samp	non	non
																	sam. nov. 01 2014	18:33	Marmotte	comment vérifies-tu qu'il est toujours là ? 18:33 (Marmotte)>+ :D	comment vérifies-tu qu'il est toujours là ? :D
																	sam. nov. 01 2014	18:33	lyntoo	tu as stoppé le service avant d'effacer ?	tu as stoppé le service avant d'effacer?
																	sam. nov. 01 2014	18:33	Marmotte	(parfois , on a des surprises ... 18:33 (Marmotte)>+ ^^)	(parfois, on a des surprises... ^^)
																	sam. nov. 01 2014	18:33	lyntoo	sudo service apache2 stop	sudo service apache2 stop
																	sam. nov. 01 2014	18:33	samp	oui	oui
																	sam. nov. 01 2014	18:34	Marmotte	tu peux donner le résultat du purge ?	tu peux donner le résultat du purge ?
		requestForAction															sam. nov. 01 2014	18:34	lyntoo	sudo apt-get purge apache2 apache2-utils apache2.2-bin apache2-common	sudo apt-get purge apache2 apache2-utils apache2.2-bin apache2-common
		requestForAction															sam. nov. 01 2014	18:34	lyntoo	sudo apt-get autoremove --purge	sudo apt-get autoremove --purge
requestForAction																	sam. nov. 01 2014	18:34	Marmotte	!paste samp	!paste samp
requestForAction																	sam. nov. 01 2014	18:34	@uBOTu-fr	Utilisez http://paste.ubuntu-fr-secours.org / pour les copiés/collés , mettez votre pseudonyme dans le champ idoine ,	Utilisez http://paste.ubuntu-fr-secours.org/ pour les copiés/collés, mettez votre pseudonyme dans le champ idoine, merci !
	anticipateThanking																		\	merci !	
requestForAction																	sam. nov. 01 2014	18:34	samp	!paste	!paste
requestForAction																	sam. nov. 01 2014	18:34	@uBOTu-fr	Utilisez http://paste.ubuntu-fr-secours.org / pour les copiés/collés , mettez votre pseudonyme dans le champ idoine ,	Utilisez http://paste.ubuntu-fr-secours.org/ pour les copiés/collés, mettez votre pseudonyme dans le champ idoine, merci
	anticipateThanking																		\	merci	
		requestForAction															sam. nov. 01 2014	18:34	lyntoo	sudo rm - Rf / etc/apache2 / usr/lib/apache2 / usr/include/apache2	sudo rm -Rf /etc/apache2 /usr/lib/apache2 /usr/include/apache2
																	sam. nov. 01 2014	18:34	samp	http://paste.ubuntu-fr-secours.org/src-139212	http://paste.ubuntu-fr-secours.org/src-139212
							inform	depreciate									sam. nov. 01 2014	18:34	Marmotte	pas bonne idée , le rm si on est pas certain que le paquet est désinstallé correctement ...	pas bonne idée, le rm si on est pas certain que le paquet est désinstallé correctement...
							inform	promote									sam. nov. 01 2014	18:35	Marmotte	fais donc la seconde commande de lyntoo : 18:35 (Marmotte)>+ >(samp) sudo apt-get autoremove --purge	fais donc la seconde commande de lyntoo : sudo apt-get autoremove --purge
																	sam. nov. 01 2014	18:35	tobiasBora	Bonsoir !	Bonsoir !
		answer					inform	depreciate									sam. nov. 01 2014	18:35	Marmotte	le paquet apache2 tout court ne contient pas grand chose lui même	le paquet apache2 tout court ne contient pas grand chose lui même
			evaluation	requestForInformation													sam. nov. 01 2014	18:35	samp	sans préciser apache2 dedans ?	sans préciser apache2 dedans ?
			evaluation	answer													sam. nov. 01 2014	18:35	Marmotte	sans préciser , oui	sans préciser, oui
																	sam. nov. 01 2014	18:36	lyntoo	ok daccord avec Marmotte	ok daccord avec Marmotte
			evaluation	answer	inform	unsatisfied											sam. nov. 01 2014	18:36	samp	0 à enlever	0 à enlever
		answerByRequestForAction							inform	happy							sam. nov. 01 2014	18:36	Marmotte	bon , alors purge apache2-common :)	bon, alors purge apache2-common :)
									inform	love		introduceTopic					sam. nov. 01 2014	18:37	tobiasBora	Je voudrais savoir , je viens de m'acheter un casque bluetooth ( j'ai longtemps hésité mais y'avait que ça et j'avais un besoin urgent d'écouter de la musique ),	Je voudrais savoir, je viens de m'acheter un casque bluetooth (j'ai longtemps hésité mais y'avait que ça et j'avais un besoin urgent d'écouter de la musique), le problème étant que les basses sont trop fortes, savez vous comment les réduire ? (Je suis sous KDE si ça peut aider)
		requestForInformation																	\	le problème étant que les basses sont trop fortes , savez vous comment les réduire ?	
		inform			inform	unsatisfied								conditional					\	(Je suis sous KDE si ça peut aider )	
		requestForInformation															sam. nov. 01 2014	18:37	samp	sudo apt-get autoremove --purge apache2-common ?	sudo apt-get autoremove --purge apache2-common ?
		correct															sam. nov. 01 2014	18:37	Marmotte	non :	non : sudo apt-get purge apache2-common
																			\	sudo apt-get purge apache2-common	
									inform	negativeSurprise							sam. nov. 01 2014	18:37	samp	OMG	OMG
																	sam. nov. 01 2014	18:38	lyntoo	utilises un gestionnaire de sond alors	utilises un gestionnaire de sond alors
																	sam. nov. 01 2014	18:38	samp	http://paste.ubuntu-fr-secours.org/src-139213	http://paste.ubuntu-fr-secours.org/src-139213
