Communication Management	Social Obligations Management	Task Management	Feedback Management-value	Feedback Management	Sentiment Management	Sentiment Management-value	Opinion Management	Opinion Management-value	Emotion Management	Emotion Management-value	Knowledge Management	Discourse Structure Management	Partiality	Conditionality	Certainty	Irony	datetime	participant	segment	raw
																	nov. 01 2014 16:13	noobuntu	quel sont les riques ?	quel sont les riques ?
																	nov. 01 2014 16:14	noobuntu	risques ?	risques?
					inform	unsatisfied								conditional			nov. 01 2014 16:14	lyntoo	que tu perde le wifi temporairement si jamais ca fonctionne pas	que tu perde le wifi temporairement si jamais ca fonctionne pas
																	nov. 01 2014 16:14	alcidi	bonjoura tousse	bonjoura tousse
																	nov. 01 2014 16:14	noobuntu	salut	salut
		requestForHelp															nov. 01 2014 16:14	noobuntu	de l'aide via team viver ?	de l'aide via team viver ?
																	nov. 01 2014 16:14	noobuntu	en fillaire	en fillaire
		requestForInformation										introduceTopic					nov. 01 2014 16:14	alcidi	je voulais savoir comment lire les fichiers wav avec totem ,	je voulais savoir comment lire les fichiers wav avec totem, le mien ne les lit pas , contrairement à smplayer
		inform			inform	unsatisfied											 	\	le mien ne les lit pas , contrairement à smplayer	
																	nov. 01 2014 16:15	alcidi	surement un codec de plus à installer , mais lequel ?	surement un codec de plus à installer , mais lequel ?
																	nov. 01 2014 16:16	lyntoo	wavpack	wavpack
			execution	answerPositively													nov. 01 2014 16:16	alcidi	oki docki ,	oki docki , je regarde dans le synaptic
		commit															 	\	je regarde dans le synaptic	
		inform							inform	negativeSurprise							nov. 01 2014 16:17	alcidi	bizarre que ce soit pas lu par défaut , du fait que j'ai déjà libwavpack1 d'installé	bizarre que ce soit pas lu par défaut , du fait que j'ai déjà libwavpack1 d'installé
		requestForHelp															nov. 01 2014 16:17	noobuntu	tu veut bienn m'aider par teamviver stp	tu veut bienn m'aider par teamviver stp
																	nov. 01 2014 16:17	alcidi	je ne connais pas ce logiciel	 je ne connais pas ce logiciel
									inform	negativeSurprise							nov. 01 2014 16:18	lyntoo	ouais étrange ,	ouais étrange, je suis pas trop bidouilleur des .wav mais je sais que vlc lit pas mal tout ce qui se fait
							inform	promote							certain		 	\	je suis pas trop bidouilleur des . wav mais je sais que vlc lit pas mal tout ce qui se fait	
												shiftTopic					nov. 01 2014 16:18	alcidi	deuxième question , parfois j'ai des cadenas sur certains fichiers que je peux pourtant lire sans probleme , type des mp3 ,	deuxième question, parfois j'ai des cadenas sur certains fichiers que je peux pourtant lire sans probleme, type des mp3, pourquoi ces cadenas et qu'impiquent-ils ?
																	 	\	pourquoi ces cadenas et qu'impiquent-ils ?	
															uncertain		nov. 01 2014 16:19	lyntoo	surment que le fichier es protéger en écriture mais pas en lecture	surment que le fichier es protéger en écriture mais pas en lecture
																	nov. 01 2014 16:19	alcidi	je vais plutôt tenter l'installe de totem-plugins-extra	 je vais plutôt tenter l'installe de totem-plugins-extra
		inform							inform	negativeSurprise							nov. 01 2014 16:20	alcidi	bizarre de protéger un fichier mp3 en écriture sachant qu'en général on écrit pas sur son tube préféré du moment	 bizarre de protéger un fichier mp3 en écriture sachant qu'en général on écrit pas sur son tube préféré du moment
			execution	answerPositively													nov. 01 2014 16:20	lyntoo	bien ,	bien, fais moi savoir si ca fonctionne j'suis quand meme curieux
					requestForInformation	satisfied											 	\	fais moi savoir si ca fonctionne	
									inform	positiveSurprise							 	\	j'suis quand meme curieux	
		inform							inform	positiveSurprise							nov. 01 2014 16:20	alcidi	la curiosité est un vilain défaut , mais j'ai le même ,	la curiosité est un vilain défaut , mais j'ai le même , je tente et je te dis
		commit															 	\	je tente et je te dis	
			execution	answerPositively													nov. 01 2014 16:20	lyntoo	bien	bien tu peux modifier la database du mp3, le genre l'artiste etc
		answerByRequestForAction															 	\	tu peux modifier la database du mp3 , le genre l'artiste etc	
	thanking				inform	unsatisfied											nov. 01 2014 16:21	noobuntu	bon merci quand meme !	bon merci quand meme ! je reviendrais ! bonne soirée bon courage est encore merci !
												preclosing					 	\	je reviendrais !	
																	 	\	bonne soirée bon courage	
																	 	\	est encore merci !	
			execution	answerPositively													nov. 01 2014 16:21	alcidi	ah oui lyntoo	ah oui lyntoo j'avais pas pensé à ça, dans le sens ou je ne fais jamais ce genre de choses
																	 	\	j'avais pas pensé à ça , dans le sens ou je ne fais jamais ce genre de choses	
		inform			inform	unsatisfied											nov. 01 2014 16:24	alcidi	marche po	marche po
																	nov. 01 2014 16:25	alcidi	mais en fait j'ai un message surprenant de totem : 16:25 (alcidi)>+ fichier spécifié non trouvé	mais en fait j'ai un message surprenant de totem : fichier spécifié non trouvé
																	nov. 01 2014 16:25	alcidi	plus spécialement le film spécifié n'a pu être trouvé , quand je tente un wav	plus spécialement le film spécifié n'a pu être trouvé , quand je tente un wav
																	nov. 01 2014 16:25	alcidi	un wav depuis un cd	un wav depuis un cd
																	nov. 01 2014 16:25	lyntoo	ah c'est déja un indice	ah c'est déja un indice
																	nov. 01 2014 16:26	lyntoo	essaye de copier le fichier sur ton disque dure et de le lire a partir de	essaye de copier le fichier sur ton disque dure et de le lire a partir de
					inform	satisfied											nov. 01 2014 16:27	alcidi	oui ça marche dans ce cas	oui ça marche dans ce cas
							inform	depreciate							uncertain		nov. 01 2014 16:27	alcidi	la gestion des cd est pas au point on dirait	la gestion des cd est pas au point on dirait
									inform	negativeSurprise					uncertain		nov. 01 2014 16:27	lyntoo	pourtant les . wav c'est tres basique , ca devrais etre lu par défaut	pourtant les .wav c'est tres basique, ca devrais etre lu par défaut
					inform	satisfied						closeTopic					nov. 01 2014 16:27	alcidi	problème résolu puisque ce sont des fichiers que je devais les copier sur mon DD	problème résolu puisque ce sont des fichiers que je devais les copier sur mon DD
												announceTopicShift					nov. 01 2014 16:28	alcidi	un autre truc tant que j'y pense ,	un autre truc tant que j'y pense, qui utilise mtink ? moi depuis la 14.04 ça ne reconnait pas mon imprimante alors que ça fonctionnait depuis des années sur les précédentes versions d'ubuntu depuis la 06.06
		requestForInformation										introduceTopic					 	\	qui utilise mtink ?	
					inform	unsatisfied											 	\	moi depuis la 14.04 ça ne reconnait pas mon imprimante alors que ça fonctionnait depuis des années sur les précédentes versions d'ubuntu depuis la 06.06	
																	nov. 01 2014 16:28	lyntoo	connais pas mtink ,	connais pas mtink, c'est un gestionnaire d'imprimante?
																	 	\	c'est un gestionnaire d'imprimante ?	
																	nov. 01 2014 16:29	alcidi	oui ,	oui, c'est très chiant parce que pour nettoyer les têtes de lecture sans le logiciel c'est difficile et escputil ne semble pas savoir le faire donc il ne me reste plus que mtink
					inform	unsatisfied											 	\	c'est très chiant parce que pour nettoyer les têtes de lecture sans le logiciel c'est difficile et escputil ne semble pas savoir le faire donc il ne me reste plus que mtink	
																	nov. 01 2014 16:30	lyntoo	surment que ca te prends le driver pour ton imprimante alors quelque chose du genre	surment que ca te prends le driver pour ton imprimante alors quelque chose du genre
					inform	unsatisfied											nov. 01 2014 16:30	alcidi	en ligne de commande j'ai accès aux niveau d'encre depuis escputil mais pas au nettoyage des têtes , j'ai le message comme quoi il nettoie mais ça ne fait rien du tout	en ligne de commande j'ai accès aux niveau d'encre depuis escputil mais pas au nettoyage des têtes  , j'ai le message comme quoi il nettoie mais ça ne fait rien du tout
																	nov. 01 2014 16:31	alcidi	logiquement le driver est installé puisque l'imprimante est reconnue par le systeme , et de plus il s'est toujours installé par défaut sans que je ne fasse rien de spécial à l'installe d'ubuntu	logiquement le driver est installé puisque l'imprimante est reconnue par le systeme, et de plus il s'est toujours installé par défaut sans que je ne fasse rien de spécial à l'installe d'ubuntu
									requestForAction	fear					uncertain		nov. 01 2014 16:31	lyntoo	méfie toi , cest peut-etre un driver générique qui prends pas en considération les options spécialisé	méfie toi, cest peut-etre un driver générique qui prends pas en considération les options spécialisé
																	nov. 01 2014 16:33	alcidi	avant mtink faisait l'essentiel , niveau d'encre , nettoyage des têtes et impression page de test , moi je n'en demande pas plus	avant mtink faisait l'essentiel , niveau d'encre, nettoyage des têtes et impression page de test , moi je n'en demande pas plus
					inform	unsatisfied											nov. 01 2014 16:35	alcidi	c'est quand même très génant quand on utilise bcp le traitement de texte et qu'on a souvent des choses à imprimer , comme c'est mon cas , c'est une vraie galère à chaque fois que j'ai une cartouche encrassée ou à changer	c'est quand même très génant quand on utilise bcp le traitement de texte et qu'on a souvent des choses à imprimer, comme c'est mon cas, c'est une vraie galère à chaque fois que j'ai une cartouche encrassée ou à changer
																	nov. 01 2014 16:36	lyntoo	j'ai vu que le cups driver n'utilise plus le module usbpl maintenant ca peut etre relié	j'ai vu que le cups driver n'utilise plus le module usbpl maintenant ca peut etre relié
		answerPositively													uncertain		nov. 01 2014 16:36	alcidi	oui ça se peut en effet ,	oui ça se peut en effet , parce qu'avant ubuntu 14.04; j'avais aucun probleme
					inform	satisfied											 	\	parce qu'avant ubuntu 14.04 ; j'avais aucun probleme	
																	nov. 01 2014 16:36	lyntoo	sudo modprobe usbpl	sudo modprobe usbpl
																	nov. 01 2014 16:37	lyntoo	mtink et ensuite sudo modprobe - r usbpl	mtink et ensuite sudo modprobe -r usbpl
																	nov. 01 2014 16:37	alcidi	pour faire quoi ?	 pour faire quoi ? je ne suis pas un pro de la ligne de commande
																	 	\	je ne suis pas un pro de la ligne de commande	
																	nov. 01 2014 16:39	Alonzo	Bonjour ,	Bonjour, tout nouveau sur ubuntu je viens soliciter votre aide pour un petit problème
																	 	\	tout nouveau sur ubuntu	
		requestForHelp										open					nov. 01 2014 16:39	Alonzo	je viens soliciter votre aide pour un petit problème	
					inform	unsatisfied						introduceTopic					nov. 01 2014 16:46	Alonzo	Ma logitèque ubuntu ne marche plus , et j'ai un panneau sens interdit dans mon tableau de bord	Ma logitèque ubuntu ne marche plus, et j'ai un panneau sens interdit dans mon tableau de bord
									inform	love							nov. 01 2014 16:46	Alonzo	J'ai voulu mettre à jour les paquets	J'ai voulu mettre à jour les paquets voilà le message d'erreur
																	nov. 01 2014 16:47	Alonzo	voilà le message d'erreur	
																	nov. 01 2014 16:55	alcidi	Lecture des listes de paquets ... 16:46 (Alonzo)>+ Erreur ! 16:46 (Alonzo)>+ E : 16:46 (Alonzo)>+ Encountered a section with no Package : 16:46 (Alonzo)>+ header E : 16:46 (Alonzo)>+ Problem with MergeList / var/lib/apt/lists/fr.archive.ubuntu.com_ubuntu_dists_precise_universe_i18n_Translation-en E : 16:46 (Alonzo)>+ Les listes de paquets ou le fichier « status » ne peuvent être analysés ou lus	Lecture des listes de paquets... Erreur ! E: Encountered a section with no Package: header E: Problem with MergeList /var/lib/apt/lists/fr.archive.ubuntu.com_ubuntu_dists_precise_universe_i18n_Translation-en E: Les listes de paquets ou le fichier « status » ne peuvent être analysés ou lus.
		requestForHelp															nov. 01 2014 16:55	alcidi	Quelqu'un a une idée svp ?	Quelqu'un a une idée svp ?
																	nov. 01 2014 17:00	samp	Alonzo : 16:55 (alcidi)>+ tu as bidouillé	Alonzo:  tu as bidouillé
																	 	\	oupas pas eu le temps de répondre	oupas pas eu le temps de répondre
																	 	\	Salut ,	Salut, quelqu'un serait dispo pour me filer un coup de main a config mon serveur apache2 svp ?
		requestForHelp										introduceTopic					 	\	quelqu'un serait dispo pour me filer un coup de main a config mon serveur apache2 svp ?	
																	nov. 01 2014 17:07	Asharas	hellow !	hellow!
																	nov. 01 2014 17:12	samp	salut	salut
		requestForHelp							inform	love		introduceTopic					nov. 01 2014 17:13	samp	j'aurai besoin d'un petit coup de pied pour config mon serveur apache2 en virtualhost svp	j'aurai besoin d'un petit coup de pied pour config mon serveur apache2 en virtualhost svp
																	nov. 01 2014 17:17	Asharas	dis toujours	dis toujours
		answer							inform	happy							nov. 01 2014 17:18	gniourf	toujours	toujours
																	nov. 01 2014 17:20	samp	http://forum.ubuntu-fr.org/viewtopic.php?pid=18438441#p18438441	http://forum.ubuntu-fr.org/viewtopic.php?pid=18438441#p18438441
							inform	depreciate				inform					nov. 01 2014 17:23	Oleti	y a pas trop de question la ....	y a pas trop de question la ....
		requestForInformation	interpretation	answerNegatively													nov. 01 2014 17:23	samp	hum cad ?	hum cad ?
					inform	unsatisfied											nov. 01 2014 17:23	samp	je ne sais pas quoi toucher pour configurer mon 2nd site	je ne sais pas quoi toucher pour configurer mon 2nd site
									inform	fear							nov. 01 2014 17:24	samp	j'ai bien peur de tout faire planter	j'ai bien peur de tout faire planter
		answerNegatively												conditional			nov. 01 2014 17:24	Oleti	si tu as fait des copies des fchiers , tu ne fais pas tout planter	si tu as fait des copies des fchiers, tu ne fais pas tout planter
			interpretation	requestForInformation													nov. 01 2014 17:24	samp	si j'ai fais un backup ?	si j'ai fais un backup ?
																	nov. 01 2014 17:25	Oleti	les sites doivent etre configurer dans sites-available 17:25 (Oleti)> et activé dans sites-enabled	les sites doivent etre configurer dans sites-available
																	nov. 01 2014 17:25	Oleti		et activé dans sites-enabled
			execution	answerPositively													nov. 01 2014 17:26	samp	pourtant dans ma config si tu regardes le fichier apache2.conf tu vois que mes virtual hosts sont tout en bas	pourtant dans ma config si tu regardes le fichier apache2.conf tu vois que mes virtual hosts sont tout en bas
																	nov. 01 2014 17:27	Oleti	j'ai vu	j'ai vu
correct																	nov. 01 2014 17:27	samp	et j'ai mis a jour le post avec le contenu de mon fichier sites-available/default	et j'ai mis a jour le post avec le contenu de mon fichier sites-available/default
																	nov. 01 2014 17:27	samp	il n'y a rien dedans	il n'y a rien dedans
																	nov. 01 2014 17:28	samp	rien de spécifique à mon premier site	rien de spécifique à mon premier site
																	nov. 01 2014 17:30	samp	alors je commence par activer mon mod userdir ?	alors je commence par activer mon mod userdir ?
																	nov. 01 2014 17:44	samp	oleti tu ferai comment ?	oleti tu ferai comment ?
		requestForHelp							inform	love							nov. 01 2014 17:44	samp	j'aurai besoin d'un petit coup de pied pour config mon serveur apache2 en virtualhost svp	j'aurai besoin d'un petit coup de pied pour config mon serveur apache2 en virtualhost svp
																	nov. 01 2014 18:26	samp	bonsoir ,	bonsoir,
									inform	love		introduceTopic					nov. 01 2014 18:26	samp	je cherche à désinstaller apache2 , j'utilise la commande sudo apt-get purge apache2	je cherche à désinstaller apache2, j'utilise la commande sudo apt-get purge apache2
		inform													uncertain		nov. 01 2014 18:26	davlefou	lyntoo je crois qu'elle n'utilise pas tab !	lyntoo je crois qu'elle n'utilise pas tab!
		requestForInformation	execution	answerNegatively													nov. 01 2014 18:26	davlefou	et donc ?	et donc?
																	nov. 01 2014 18:27	samp	et bien mon serveur web est toujours la	et bien mon serveur web est toujours la
																	nov. 01 2014 18:27	samp	sudo / etc/init.d/apache2 start	sudo /etc/init.d/apache2 start
																	nov. 01 2014 18:27	samp	et mon site fonctionne a nouveau	et mon site fonctionne a nouveau
																	nov. 01 2014 18:27	davlefou	tu l'install et aprés tu veux purger ?	tu l'install et aprés tu veux purger?
									inform	love							nov. 01 2014 18:27	samp	je veux le réinstaller avec la configuration de base	je veux le réinstaller avec la configuration de base
																	nov. 01 2014 18:28	samp	donc je suis parti sur le désinstaller avec sudo apt-get purge apache2	donc je suis parti sur le désinstaller avec sudo apt-get purge apache2
																	nov. 01 2014 18:28	samp	pour le désinsataller mais il est toujours la ...	pour le désinsataller mais il est toujours la ...
																	nov. 01 2014 18:33	Marmotte	il doit y avoir des erreurs affichées lors du purge , non ?	il doit y avoir des erreurs affichées lors du purge, non ?
																	nov. 01 2014 18:33	samp	non	non
																	nov. 01 2014 18:33	Marmotte	comment vérifies-tu qu'il est toujours là ? 18:33 (Marmotte)>+ :D	comment vérifies-tu qu'il est toujours là ? :D
																	nov. 01 2014 18:33	lyntoo	tu as stoppé le service avant d'effacer ?	tu as stoppé le service avant d'effacer?
																	nov. 01 2014 18:33	Marmotte	(parfois , on a des surprises ... 18:33 (Marmotte)>+ ^^)	(parfois, on a des surprises... ^^)
																	nov. 01 2014 18:33	lyntoo	sudo service apache2 stop	sudo service apache2 stop
																	nov. 01 2014 18:33	samp	oui	oui
																	nov. 01 2014 18:34	Marmotte	tu peux donner le résultat du purge ?	tu peux donner le résultat du purge ?
		requestForAction															nov. 01 2014 18:34	lyntoo	sudo apt-get purge apache2 apache2-utils apache2.2-bin apache2-common	sudo apt-get purge apache2 apache2-utils apache2.2-bin apache2-common
		requestForAction															nov. 01 2014 18:34	lyntoo	sudo apt-get autoremove --purge	sudo apt-get autoremove --purge
requestForAction																	nov. 01 2014 18:34	Marmotte	!paste samp	!paste samp
requestForAction																	nov. 01 2014 18:34	@uBOTu-fr	Utilisez http://paste.ubuntu-fr-secours.org / pour les copiés/collés , mettez votre pseudonyme dans le champ idoine ,	Utilisez http://paste.ubuntu-fr-secours.org/ pour les copiés/collés, mettez votre pseudonyme dans le champ idoine, merci !
	anticipateThanking																 	\	merci !	
requestForAction																	nov. 01 2014 18:34	samp	!paste	!paste
requestForAction																	nov. 01 2014 18:34	@uBOTu-fr	Utilisez http://paste.ubuntu-fr-secours.org / pour les copiés/collés , mettez votre pseudonyme dans le champ idoine ,	Utilisez http://paste.ubuntu-fr-secours.org/ pour les copiés/collés, mettez votre pseudonyme dans le champ idoine, merci
	anticipateThanking																 	\	merci	
		requestForAction															nov. 01 2014 18:34	lyntoo	sudo rm - Rf / etc/apache2 / usr/lib/apache2 / usr/include/apache2	sudo rm -Rf /etc/apache2 /usr/lib/apache2 /usr/include/apache2
																	nov. 01 2014 18:34	samp	http://paste.ubuntu-fr-secours.org/src-139212	http://paste.ubuntu-fr-secours.org/src-139212
							inform	depreciate									nov. 01 2014 18:34	Marmotte	pas bonne idée , le rm si on est pas certain que le paquet est désinstallé correctement ...	pas bonne idée, le rm si on est pas certain que le paquet est désinstallé correctement...
							inform	promote									nov. 01 2014 18:35	Marmotte	fais donc la seconde commande de lyntoo : 18:35 (Marmotte)>+ >(samp) sudo apt-get autoremove --purge	fais donc la seconde commande de lyntoo : sudo apt-get autoremove --purge
																	nov. 01 2014 18:35	tobiasBora	Bonsoir !	Bonsoir !
		answer					inform	depreciate									nov. 01 2014 18:35	Marmotte	le paquet apache2 tout court ne contient pas grand chose lui même	le paquet apache2 tout court ne contient pas grand chose lui même
			evaluation	requestForInformation													nov. 01 2014 18:35	samp	sans préciser apache2 dedans ?	sans préciser apache2 dedans ?
			evaluation	answer													nov. 01 2014 18:35	Marmotte	sans préciser , oui	sans préciser, oui
																	nov. 01 2014 18:36	lyntoo	ok daccord avec Marmotte	ok daccord avec Marmotte
			evaluation	answer	inform	unsatisfied											nov. 01 2014 18:36	samp	0 à enlever	0 à enlever
		answerByRequestForAction							inform	happy							nov. 01 2014 18:36	Marmotte	bon , alors purge apache2-common :)	bon, alors purge apache2-common :)
									inform	love		introduceTopic					nov. 01 2014 18:37	tobiasBora	Je voudrais savoir , je viens de m'acheter un casque bluetooth ( j'ai longtemps hésité mais y'avait que ça et j'avais un besoin urgent d'écouter de la musique ),	Je voudrais savoir, je viens de m'acheter un casque bluetooth (j'ai longtemps hésité mais y'avait que ça et j'avais un besoin urgent d'écouter de la musique), le problème étant que les basses sont trop fortes, savez vous comment les réduire ? (Je suis sous KDE si ça peut aider)
		requestForInformation															 	\	le problème étant que les basses sont trop fortes , savez vous comment les réduire ?	
		inform			inform	unsatisfied								conditional			 	\	(Je suis sous KDE si ça peut aider )	
		requestForInformation															nov. 01 2014 18:37	samp	sudo apt-get autoremove --purge apache2-common ?	sudo apt-get autoremove --purge apache2-common ?
		correct															nov. 01 2014 18:37	Marmotte	non :	non : sudo apt-get purge apache2-common
																	 	\	sudo apt-get purge apache2-common	
									inform	negativeSurprise							nov. 01 2014 18:37	samp	OMG	OMG
																	nov. 01 2014 18:38	lyntoo	utilises un gestionnaire de sond alors	utilises un gestionnaire de sond alors
																	nov. 01 2014 18:38	samp	http://paste.ubuntu-fr-secours.org/src-139213	http://paste.ubuntu-fr-secours.org/src-139213
																	nov. 01 2014 18:39	Marmotte	ah tiens , il ne part pas tout seul , lui ...	ah tiens, il ne part pas tout seul, lui...
																	nov. 01 2014 18:39	tobiasBora	Comme ?	Comme ? J'ai essayé pulseaudio equalizer mais il renvoit la musique sur la carte son de l'ordi et j'arrive pas à lui dire de viser le BT
																	 	\	J'ai essayé pulseaudio equalizer mais il renvoit la musique sur la carte son de l'ordi et j'arrive pas à lui dire de viser le BT	
																	nov. 01 2014 18:39	Marmotte	"que te raconte : 18:39 (Marmotte)>+ >(samp) dpkg - l "" apache2 *"""	"que te raconte : dpkg -l ""apache2*"""
																	nov. 01 2014 18:40	samp	http://paste.ubuntu-fr-secours.org/src-139214	http://paste.ubuntu-fr-secours.org/src-139214
			execution	answerPositively													nov. 01 2014 18:41	Marmotte	Ok ,	ok, donc : sudo apt-get purge apache2.2-bin (proposé par lyntoo plus haut ^^)
																	 	\	donc : 18:41 (Marmotte)>+ sudo apt-get purge apache2.2-bin ( proposé par lyntoo plus haut ^^)	
																	nov. 01 2014 18:41	Marmotte	(j'étais pas certain que ce soit toujours 2.2 , donc je préfère vérifier )	(j'étais pas certain que ce soit toujours 2.2, donc je préfère vérifier)
																	nov. 01 2014 18:41	mezen	sudo apt-get purge apache2 *	sudo apt-get purge apache2*
																	nov. 01 2014 18:42	gniourf	avec des quotes c'est mieux	avec des quotes c'est mieux
																	nov. 01 2014 18:42	Marmotte	1	1
																	nov. 01 2014 18:42	davlefou	qu'es ce qui ne va pas avec ta config ?	qu'es ce qui ne va pas avec ta config?
																	nov. 01 2014 18:42	Marmotte	sans quotes , il arrive que le shell évalue l'astérisque ^^	sans quotes, il arrive que le shell évalue l'astérisque ^^
																	nov. 01 2014 18:42	Marmotte	et ça donne n'importe quoi , du coup : P	et ça donne n'importe quoi, du coup :P
																	nov. 01 2014 18:42	gniourf	un glob quoi : D	un glob quoi :D
																	nov. 01 2014 18:43	samp	attend davlefou cest trop tard maintenant je réinstalle tout	attend davlefou cest trop tard maintenant je réinstalle tout
		requestForAction												conditional			nov. 01 2014 18:43	Marmotte	n'oublie pas de vérifier que / etc/apache2 est bien vide , après désinstallation complète , si tu veux vraiment supprimer toute trace de ta précédente configuration : P	n'oublie pas de vérifier que /etc/apache2 est bien vide, après désinstallation complète, si tu veux vraiment supprimer toute trace de ta précédente configuration :P
		answerPositively															nov. 01 2014 18:44	samp	ouaip	ouaip merci
																	 	\	merci	
		inform			inform	unsatisfied											nov. 01 2014 18:44	samp	j'ai tout de meme un probleme lors de la désinstallation	j'ai tout de meme un probleme lors de la désinstallation je te colle le log
inform		commit															 	\	je te colle le log	
	greetings																nov. 01 2014 18:44	alcidi	re à tous	re à tous
		inform															nov. 01 2014 18:45	samp	http://paste.ubuntu-fr-secours.org/src-139215	http://paste.ubuntu-fr-secours.org/src-139215
																	nov. 01 2014 18:46	samp	ce log est arrivé en utilisant la commande de Mezen	ce log est arrivé en utilisant la commande de Mezen
		requestForAction															nov. 01 2014 18:46	davlefou	apt-get autoremove aprés	apt-get autoremove aprés
																	nov. 01 2014 18:46	davlefou	avec un sudo et il va purger pour de bon	avec un sudo et il va purger pour de bon
																	nov. 01 2014 18:46	davlefou	Bon aprés tu va reinstaller et probablement avoir le même pb ,	Bon aprés tu va reinstaller et probablement avoir le même pb,
																	nov. 01 2014 18:47	samp	hum	hum
																	nov. 01 2014 18:47	samp	merci Marmotte	merci Marmotte
																	nov. 01 2014 18:47	lyntoo	bizzarre moi quand je change de périfiérique de sond automatiquement l'équilizer sajuste au device en cours	bizzarre moi quand je change de périfiérique de sond automatiquement l'équilizer sajuste au device en cours
																	nov. 01 2014 18:47	samp	je désinstalle pas parce que j'avais un problème	je désinstalle pas parce que j'avais un problème
																	nov. 01 2014 18:47	tobiasBora	Et tu utilises pavucontrol aussi ?	Et tu utilises pavucontrol aussi ?
									inform	love							nov. 01 2014 18:48	samp	je désinstalle parce que je veux mettre plusieurs sites sur mon serveur et donc faire ce tuto http://doc.ubuntu-fr.org/tutoriel/virtualhosts_avec_apache2	je désinstalle parce que je veux mettre plusieurs sites sur mon serveur et donc faire ce tuto http://doc.ubuntu-fr.org/tutoriel/virtualhosts_avec_apache2
																	nov. 01 2014 18:48	lyntoo	pulseaudio et le gestionnaire de sond par défaut ubuntu 14.04	pulseaudio et le gestionnaire de sond par défaut ubuntu 14.04
																	nov. 01 2014 18:48	samp	et j'avais deja fais une configuration mais j'avais bidouillé de partout	et j'avais deja fais une configuration mais j'avais bidouillé de partout
																	nov. 01 2014 18:49	davlefou	suffisait de demander pour les vhost ,	suffisait de demander pour les vhost,
																	nov. 01 2014 18:49	gniourf	c'est bizarre qu'il te dise que certains paquets ne sont pas présents , hors ils sont présents quand tu les listes avec dpkg	c'est bizarre qu'il te dise que certains paquets ne sont pas présents, hors ils sont présents quand tu les listes avec dpkg
																	nov. 01 2014 18:49	samp	je ne fais que ca depuis une semaine	je ne fais que ca depuis une semaine
		commit															nov. 01 2014 18:50	davlefou	on peut voir cela ensemble tout à l'heure ,	on peut voir cela ensemble tout à l'heure,
																	nov. 01 2014 18:50	samp	oui avec plaisir	oui avec plaisir
																	nov. 01 2014 18:50	samp	tout a lheure ?	tout a lheure ? je peux commencer la doc du site ?
																	nov. 01 2014 18:51	lyntoo	je peux commencer la doc du site ?	
																	 	\	assure toi que dans puseaudio mixer tu as coché EQ enable	assure toi que dans puseaudio mixer tu as coché EQ enable
																	nov. 01 2014 18:51	lyntoo	sinon rien se passes ;-)	sinon rien se passes ;-)
																	nov. 01 2014 18:51	tobiasBora	"Et tu as essayé de switcher entre deux cartes , pas seulement entre deux "" sorties "" ( haut parleur/casque ) ?"	"Et tu as essayé de switcher entre deux cartes, pas seulement entre deux ""sorties"" (haut parleur/casque) ?"
																	nov. 01 2014 18:52	lyntoo	oui pour moi ca fonctionne tres bien	oui pour moi ca fonctionne tres bien
																	nov. 01 2014 18:52	davlefou	Tu as quel version de ubuntu ?	Tu as quel version de ubuntu?
																	nov. 01 2014 18:52	samp	12,04	12.04
			execution	answerPositively													nov. 01 2014 18:52	davlefou	ok ,	ok,
																	nov. 01 2014 18:53	lyntoo	autant le sond usb , hdmi , digital , analog , bluetooth ,	autant le sond usb, hdmi, digital, analog, bluetooth,
																	nov. 01 2014 18:53	samp	tout a l'heure , c'est quand ?	tout a l'heure, c'est quand ?
																	nov. 01 2014 18:53	samp	(je vais fumer une clope et je reviens )	(je vais fumer une clope et je reviens)
																	nov. 01 2014 18:54	davlefou	Dans une ou deux heures	Dans une ou deux heures,
																	nov. 01 2014 18:54	alcidi	le tabac c'est tabou , on en viendra tous à bout	le tabac c'est tabou, on en viendra tous à bout
																	nov. 01 2014 18:55	tobiasBora	Hum ...	"Hum... Voici une impression d'écran, quand je clique sur ""Apply Settings"" la sortie passe de BT2 (ma carte actuelle) à LADSPA et le son se met à sortir des hauts parleurs de mon ordi"
																	nov. 01 2014 18:55	lyntoo	"Voici une impression d'écran , quand je clique sur "" Apply Settings "" la sortie passe de BT2 ( ma carte actuelle ) à LADSPA et le son se met à sortir des hauts parleurs de mon ordi"	
																	nov. 01 2014 18:55	samp	euh par contre moi jai alsa comme gestionnaire de sound jviens de remarquer ,	euh par contre moi jai alsa comme gestionnaire de sound jviens de remarquer, jai jamais eu de probleme avec alsa
					inform	satisfied											 	\	jai jamais eu de probleme avec alsa	
																	nov. 01 2014 18:55	davlefou	lol pas facile je dois rester à regarder le tchat pendant tout ce temps ?	lol pas facile je dois rester à regarder le tchat pendant tout ce temps ?
																	nov. 01 2014 18:56	lyntoo	je te ping quand je suis dispo ,	je te ping quand je suis dispo,
																	nov. 01 2014 18:57	tobiasBora	alsa-base , alsa-utils , libasound2-data , libasound2-plugins , libsdl1.2debian	alsa-base, alsa-utils, libasound2-data, libasound2-plugins, libsdl1.2debian
																	nov. 01 2014 18:58	samp	C'est toi qui l'a choisi ou c'est par défaut ?	C'est toi qui l'a choisi ou c'est par défaut ?
